2024-07-04 11:10:31.613 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData: {'packHead': 21930, 'frameLength': 125, 'frameLengthNot': 65410, 'serialNumber': 122, 'dataObject': 1, 'frameCode': 30, 'data': b'\x00\x00\x00}\x00\x00\x1ai\x00\x00\x00\xcf\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x002\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x99\xdd\rU\xaa\x00\x1e\xff\xe1{\x01\x1f\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'frameCRC': 14423, 'frameEnd': 13}
2024-07-04 11:10:31.621 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData error: unpack requires a buffer of 120 bytes
2024-07-04 11:11:43.690 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData: {'packHead': 21930, 'frameLength': 125, 'frameLengthNot': 65410, 'serialNumber': 10, 'dataObject': 1, 'frameCode': 30, 'data': b'\x00\x00\x00}\x00\x00\x1ak\x00\x00\x00\xcf\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00A\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x002\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xc8W\rU\xaa\x00\x1e\xff\xe1\x0b\x01\x1f\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'frameCRC': 63255, 'frameEnd': 13}
2024-07-04 11:11:43.693 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData error: unpack requires a buffer of 120 bytes
2024-07-04 11:12:56.725 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData: {'packHead': 21930, 'frameLength': 125, 'frameLengthNot': 65410, 'serialNumber': 156, 'dataObject': 1, 'frameCode': 30, 'data': b'\x00\x00\x00}\x00\x00\x1al\x00\x00\x00\xcf\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x002\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x0e\x1d\rU\xaa\x00\x1e\xff\xe1\x9d\x01\x1f\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'frameCRC': 43286, 'frameEnd': 13}
2024-07-04 11:12:56.727 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData error: unpack requires a buffer of 120 bytes
2024-07-04 11:13:01.742 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData: {'packHead': 21930, 'frameLength': 125, 'frameLengthNot': 65410, 'serialNumber': 166, 'dataObject': 1, 'frameCode': 30, 'data': b'\x00\x00\x00}\x00\x00\x1al\x00\x00\x00\xcf\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x002\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xf0\xc8\rU\xaa\x00\x1e\xff\xe1\xa7\x01\x1f\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'frameCRC': 51926, 'frameEnd': 13}
2024-07-04 11:13:01.749 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData error: unpack requires a buffer of 120 bytes
2024-07-04 11:15:11.919 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData: {'packHead': 21930, 'frameLength': 125, 'frameLengthNot': 65410, 'serialNumber': 170, 'dataObject': 1, 'frameCode': 30, 'data': b'\x00\x00\x00}\x00\x00\x1an\x00\x00\x00\xcf\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x002\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00C\xd6\rU\xaa\x00\x1e\xff\xe1\xab\x01\x1f\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'frameCRC': 55062, 'frameEnd': 13}
2024-07-04 11:15:11.920 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData error: unpack requires a buffer of 120 bytes
